Latitude,Longitude,Date,"Local 
Time",Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,SWE (mm) A,SWE (mm) B,SWE (mm) C,DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,Melt,Comments,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
44.29675,-115.23961,2021-03-03,14:00,8,IDBRL7,ID,Boise River Basin,LR_7,14.0,14.5,15.0,23.0,23.0,24.0, , , ,Yes, ,14.5,23.0,159.0
44.29675,-115.23961,2021-03-10,14:36,9,IDBRL7,ID,Boise River Basin,LR_7,12.0,11.5,12.5,14.5,14.0,14.0,121.0,123.0,112.0,No, ,12.0,14.0,117.0
44.29675,-115.23961,2021-03-17,16:30,10,IDBRL7,ID,Boise River Basin,LR_7,0.0, , ,0.0, , , , , ,No, ,0.0,0.0, 
44.29675,-115.23961,2021-03-22,14:30,11,IDBRL7,ID,Boise River Basin,LR_7,25.0,26.0,26.0,34.0,36.0,36.0,136.0,138.0,138.0,No, ,25.7,35.0,137.0
44.29088,-115.24397,2021-01-20,14:00,2,IDBRL8,ID,Boise River Basin,LR_8,4.0,4.5,4.5,5.0,6.0,6.0,125.0,133.0,133.0,No,"LR_8 on Banner Knob Field book, all others (LR_1-LR_7, LR_9) on 
Banner - Snotel data sheet.",4.3,6.0,140.0
44.29088,-115.24397,2021-01-28,14:30,3,IDBRL8,ID,Boise River Basin,LR_8,35.5,36.0,36.0,24.0,23.0,23.0,68.0,64.0,64.0,No, ,35.8,23.0,65.0
44.29088,-115.24397,2021-02-04,13:42,4,IDBRL8,ID,Boise River Basin,LR_8,36.5,37.0,38.0,39.0,37.0,38.0,107.0,100.0,100.0,Yes, ,37.2,38.0,103.0
44.29088,-115.24397,2021-02-10,14:20,5,IDBRL8,ID,Boise River Basin,LR_8,10.5,11.0,10.0,13.0,14.5,13.0,124.0,132.0,130.0,No, ,10.5,14.0,134.0
44.29088,-115.24397,2021-02-25,14:35,7,IDBRL8,ID,Boise River Basin,LR_8,31.0,32.0,32.0,38.0,39.0,39.0,123.0,122.0,122.0,No, ,31.7,39.0,124.0
44.29088,-115.24397,2021-03-03,16:00,8,IDBRL8,ID,Boise River Basin,LR_8,14.5,15.0,15.0,23.0,24.0,23.0,159.0,150.0,150.0,Yes, ,14.8,23.0,156.0
44.29088,-115.24397,2021-03-10,14:53,9,IDBRL8,ID,Boise River Basin,LR_8,13.5,13.5,12.5,16.0,16.0,16.0,119.0,119.0,128.0,No, ,13.2,16.0,122.0
44.29088,-115.24397,2021-03-17,16:40,10,IDBRL8,ID,Boise River Basin,LR_8,0.0, , ,0.0, , , , , ,No, ,0.0,0.0, 
44.29088,-115.24397,2021-03-22,15:00,11,IDBRL8,ID,Boise River Basin,LR_8,26.0,28.5,29.0,39.5,39.0,37.0,152.0,137.0,128.0,No, ,27.8,38.0,137.0
44.2833,-115.24156,2021-01-20,16:00,2,IDBRL9,ID,Boise River Basin,LR_9,4.0,4.0,4.0,6.0,6.0,6.0,150.0,150.0,150.0,No, ,4.0,6.0,150.0
44.2833,-115.24156,2021-01-28,16:00,3,IDBRL9,ID,Boise River Basin,LR_9,33.0,33.0,34.0,24.0,24.0,24.0,73.0,73.0,71.0,No, ,33.3,24.0,73.0
44.2833,-115.24156,2021-02-04,14:16,4,IDBRL9,ID,Boise River Basin,LR_9,39.0,38.0,38.0,40.0,41.0,40.0,102.0,107.0,105.0,No, ,38.3,40.0,105.0
44.2833,-115.24156,2021-02-10,15:10,5,IDBRL9,ID,Boise River Basin,LR_9,13.0,12.5,14.5,16.0,16.0,20.0,128.0,123.0,138.0,No, ,13.3,17.0,128.0
44.2833,-115.24156,2021-02-25,15:30,7,IDBRL9,ID,Boise River Basin,LR_9,34.0,33.5,34.0,43.0,43.0,41.0,126.0,128.0,120.0,No, ,33.8,42.0,125.0
44.2833,-115.24156,2021-03-03,n/o,8,IDBRL9,ID,Boise River Basin,LR_9, , , , , , , , , ,No, , , , 
44.2833,-115.24156,2021-03-10,15:23,9,IDBRL9,ID,Boise River Basin,LR_9,24.0,24.0,24.0,34.0,36.0,34.0,142.0,150.0,142.0,Yes,"melt is from first week interval, 2 weeks since last checked (hence greater SWE and depths than other boards)",24.0,35.0,146.0
44.2833,-115.24156,2021-03-17,16:40,10,IDBRL9,ID,Boise River Basin,LR_9,0.0, , ,0.0, , , , , ,No, ,0.0,0.0, 
44.2833,-115.24156,2021-03-22,17:00,11,IDBRL9,ID,Boise River Basin,LR_9, , , , , , , , , ,No,Not observed- ran out of daylight, , , 
43.93208,-115.66576,2021-01-15,09:00,1,IDBRM1,ID,Boise River Basin,MC_1, , , , , , , , , ,No, , , , 
